# Rime user dictionary
#@/db_name	xoox.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	52095
#@/user_id	2be3b896-1e2b-4276-bba3-679b8b3580b5
a 	啊	c=25 d=6.92897e-14 t=52095
sheng 	生	c=2 d=8.8214e-55 t=52095
sheng 	盛	c=1 d=6.1288e-94 t=52095
sheng 	省	c=7 d=3.18332e-05 t=52095
sheng 	聖	c=1 d=1.15141e-41 t=52095
sheng 	聲	c=1 d=9.31955e-113 t=52095
sheng bu 	聲部	c=1 d=8.15956e-108 t=52095
sheng chan 	生產	c=14 d=9.02872e-26 t=52095
sheng cheng 	生成	c=27 d=0.338423 t=52095
sheng cheng de 	生成的	c=1 d=2.11549e-21 t=52095
sheng cheng qi 	生成器	c=9 d=4.62601e-12 t=52095
sheng guan 	勝冠	c=1 d=1.14567e-41 t=52095
sheng hui 	省會	c=1 d=7.61748e-64 t=52095
sheng huo 	生活	c=2 d=3.3103e-44 t=52095
sheng ji 	升級	c=241 d=0.00485089 t=52095
sheng ji cheng xu 	升級程序	c=1 d=1.35839e-74 t=52095
sheng ji gong neng 	升級功能	c=1 d=7.67287e-61 t=52095
sheng ji hou 	升級後	c=1 d=2.32656e-81 t=52095
sheng li 	省立	c=1 d=2.46741e-96 t=52095
sheng lve 	省略	c=4 d=0.00105459 t=52095
sheng ming 	生命	c=2 d=6.16306e-42 t=52095
sheng ming 	聲明	c=3 d=5.06044e-60 t=52095
sheng mu 	聲母	c=9 d=5.69712e-77 t=52095
sheng pi zi 	生僻字	c=1 d=6.74598e-17 t=52095
sheng qi 	生氣	c=1 d=8.97789e-56 t=52095
sheng qian 	省錢	c=2 d=2.93299e-12 t=52095
sheng qu 	省去	c=2 d=2.99224e-12 t=52095
sheng shi 	省市	c=1 d=2.05577e-37 t=52095
sheng tao 	省套	c=1 d=2.96571e-113 t=52095
sheng wu 	生物	c=1 d=2.56967e-15 t=52095
sheng wu neng 	生物能	c=1 d=1.67159e-15 t=52095
sheng ya 	升壓	c=1 d=2.13727e-112 t=52095
sheng yin 	聲音	c=2 d=1.22535e-30 t=52095
sheng yu 	剩餘	c=42 d=0.00146073 t=52095
sheng yu dian liu 	剩餘電流	c=1 d=2.28516e-105 t=52095
shi 	事	c=3 d=5.94501e-30 t=52095
shi 	使	c=6 d=4.79978e-24 t=52095
shi 	十	c=6 d=2.27778e-67 t=52095
shi 	史	c=8 d=9.90018e-30 t=52095
shi 	失	c=1 d=2.40877e-19 t=52095
shi 	始	c=1 d=3.97883e-41 t=52095
shi 	室	c=4 d=2.96862e-07 t=52095
shi 	市	c=3 d=1.44828e-46 t=52095
shi 	式	c=4 d=4.65477e-34 t=52095
shi 	是	c=488 d=1.34862 t=52095
shi 	時	c=135 d=0.20421 t=52095
shi 	氏	c=5 d=1.37389e-68 t=52095
shi 	石	c=5 d=7.91083e-23 t=52095
shi 	示	c=1 d=5.66337e-106 t=52095
shi 	試	c=4 d=1.54838e-27 t=52095
shi ba 	是吧	c=1 d=4.61096e-11 t=52095
shi bai 	失敗	c=77 d=0.00441271 t=52095
shi bei 	十倍	c=1 d=6.9055e-86 t=52095
shi bie 	識別	c=19 d=2.24085e-07 t=52095
shi bo qi 	示波器	c=1 d=2.47767e-86 t=52095
shi bu shi 	是不是	c=19 d=1.59704e-05 t=52095
shi ce 	實測	c=1 d=3.93296e-81 t=52095
shi chang 	市場	c=1 d=1.70345e-90 t=52095
shi chang 	時長	c=5 d=9.32664e-81 t=52095
shi chu 	釋出	c=2 d=2.27192e-76 t=52095
shi dai 	時代	c=14 d=1.20113e-09 t=52095
shi dang 	適當	c=2 d=2.8497e-26 t=52095
shi de 	使得	c=8 d=6.85266e-25 t=52095
shi de 	是的	c=5 d=3.0557e-53 t=52095
shi dian 	失電	c=2 d=1.37724e-08 t=52095
shi dian 	市電	c=1 d=9.31254e-16 t=52095
shi du 	溼度	c=1 d=6.2596e-19 t=52095
shi duan 	事端	c=1 d=1.77213e-55 t=52095
shi duan 	時段	c=9 d=1.41873e-56 t=52095
shi er 	十二	c=2 d=2.0554e-53 t=52095
shi er fen 	十二分	c=1 d=1.1057e-35 t=52095
shi fang 	釋放	c=5 d=8.14237e-33 t=52095
shi fen 	十分	c=6 d=5.49512e-21 t=52095
shi fen miao 	時分秒	c=1 d=0.000777055 t=52095
shi fou 	是否	c=78 d=0.637768 t=52095
shi fu 	師傅	c=2 d=0.634448 t=52095
shi ge 	是個	c=5 d=1.86019e-08 t=52095
shi ge 	詩歌	c=1 d=0.918512 t=52095
shi gong 	施工	c=0 d=8.54149e-59 t=52095
shi gong zhong 	施工中	c=1 d=8.5843e-58 t=52095
shi gu 	事故	c=1 d=3.59102e-11 t=52095
shi gua 	試掛	c=1 d=2.10516e-81 t=52095
shi hou 	時候	c=27 d=0.867328 t=52095
shi hua 	石化	c=1 d=3.19234e-97 t=52095
shi ji 	史記	c=1 d=8.30741e-84 t=52095
shi ji 	實際	c=28 d=0.727884 t=52095
shi ji 	時機	c=2 d=1.7038e-63 t=52095
shi ji da dao 	世紀大道	c=1 d=1.17811e-46 t=52095
shi ji shang 	實際上	c=7 d=1.92146e-30 t=52095
shi jian 	事件	c=86 d=0.132473 t=52095
shi jian 	實踐	c=1 d=2.3789e-78 t=52095
shi jian 	時間	c=130 d=0.000194328 t=52095
shi jian chuo 	時間戳	c=2 d=4.5498e-59 t=52095
shi jian pian 	时间片	c=2 d=4.04605e-14 t=52095
shi jian xian 	時間線	c=1 d=0.00019549 t=52095
shi jiao 	視角	c=1 d=4.59406e-56 t=52095
shi jie 	世界	c=3 d=9.28533e-11 t=52095
shi jie 	時節	c=3 d=6.26132e-40 t=52095
shi jin zhi 	十進制	c=1 d=1.63416e-72 t=52095
shi jing 	詩經	c=1 d=1.11697e-66 t=52095
shi ke 	時刻	c=7 d=3.6084e-09 t=52095
shi lang 	侍郎	c=1 d=5.50214e-31 t=52095
shi le 	試了	c=1 d=1.54838e-27 t=52095
shi le shi 	試了試	c=1 d=1.55615e-26 t=52095
shi li 	實例	c=18 d=2.16271e-16 t=52095
shi li 	示例	c=14 d=1.37474e-09 t=52095
shi miao 	十秒	c=1 d=2.34388e-80 t=52095
shi mo 	石墨	c=0 d=8.33202e-61 t=52095
shi mo xi 	石墨烯	c=2 d=1.16057e-46 t=52095
shi neng 	使能	c=16 d=0.0435624 t=52095
shi neng 	失能	c=4 d=2.13074e-76 t=52095
shi pin 	視頻	c=7 d=0.102797 t=52095
shi qi 	時期	c=1 d=1.4502e-20 t=52095
shi qiang 	世強	c=1 d=9.04163e-51 t=52095
shi qu 	失去	c=1 d=6.18132e-18 t=52095
shi qu 	逝去	c=1 d=1.76437e-20 t=52095
shi sha 	是啥	c=4 d=4.19522e-17 t=52095
shi shen me 	是什麼	c=3 d=5.10735e-08 t=52095
shi shi 	失事	c=1 d=3.70038e-11 t=52095
shi shi 	實施	c=4 d=0.000398884 t=52095
shi shi 	實時	c=19 d=0.00663215 t=52095
shi shi 	試試	c=13 d=0.0103063 t=52095
shi shi shi zhong 	實時時鐘	c=1 d=0.0665368 t=52095
shi shi xing 	實時性	c=3 d=0.000135239 t=52095
shi shi xing 	時事性	c=1 d=5.42594e-14 t=52095
shi shui 	是誰	c=1 d=5.78739e-08 t=52095
shi shuo 	時說	c=1 d=6.14421e-06 t=52095
shi ti 	實體	c=16 d=0.00470091 t=52095
shi tou cheng 	石頭城	c=1 d=2.41904e-69 t=52095
shi tu 	視圖	c=6 d=2.40559e-77 t=52095
shi tu 	試圖	c=1 d=6.72448e-97 t=52095
shi wan 	十萬	c=1 d=1.0327e-55 t=52095
shi xian 	實現	c=111 d=0.0573043 t=52095
shi xian 	時限	c=3 d=7.39888e-45 t=52095
shi xiang 	事項	c=1 d=5.93736e-103 t=52095
shi xiao 	失效	c=1 d=1.49967e-91 t=52095
shi xin 	實心	c=1 d=1.43085e-09 t=52095
shi yan 	時延	c=1 d=6.55106e-25 t=52095
shi yan 	試驗	c=9 d=2.13663e-07 t=52095
shi yan shi 	實驗室	c=2 d=5.23612e-86 t=52095
shi yao 	是要	c=2 d=1.11818e-20 t=52095
shi ye 	事業	c=1 d=2.60673e-07 t=52095
shi ye 	師爺	c=2 d=2.59373e-07 t=52095
shi ye bu 	事業部	c=3 d=2.60428e-46 t=52095
shi yi 	十一	c=5 d=5.24255e-80 t=52095
shi yi 	適宜	c=1 d=1.18611e-08 t=52095
shi yi xia 	試一下	c=1 d=5.70844e-111 t=52095
shi yong 	使用	c=248 d=0.783876 t=52095
shi yong 	實用	c=1 d=1.10702e-49 t=52095
shi yong 	適用	c=1 d=1.14349e-48 t=52095
shi yong 	食用	c=1 d=0.000247277 t=52095
shi yong yu 	適用於	c=1 d=3.26391e-05 t=52095
shi you 	是由	c=1 d=1.42973e-88 t=52095
shi zai 	是在	c=1 d=4.8237e-71 t=52095
shi zai 	視在	c=12 d=0.000322312 t=52095
shi zhai 	時寨	c=1 d=2.24685e-112 t=52095
shi zhen 	失真	c=2 d=6.5839e-25 t=52095
shi zheng 	時政	c=1 d=4.59392e-85 t=52095
shi zhi 	失職	c=1 d=7.04356e-113 t=52095
shi zhi 	市值	c=1 d=3.54215e-85 t=52095
shi zhi 	示值	c=2 d=3.8632e-10 t=52095
shi zhi 	試紙	c=1 d=1.83931e-81 t=52095
shi zhi 	試製	c=1 d=1.91438e-81 t=52095
shi zhi jin ri 	時至今日	c=1 d=8.50785e-41 t=52095
shi zhong 	始終	c=2 d=2.85018e-28 t=52095
shi zhong 	時鐘	c=60 d=0.0066205 t=52095
shi zhong yuan 	時鐘源	c=12 d=8.99708e-24 t=52095
shou 	受	c=1 d=1.41628e-65 t=52095
shou 	手	c=6 d=7.69036e-29 t=52095
shou 	收	c=9 d=0.218854 t=52095
shou bu dao 	收不到	c=1 d=5.97157e-53 t=52095
shou cang 	收藏	c=5 d=9.08003e-70 t=52095
shou cang de 	收藏地	c=1 d=2.86837e-44 t=52095
shou cang jia 	收藏夾	c=1 d=8.36924e-83 t=52095
shou ce 	手冊	c=17 d=0.0507928 t=52095
shou ci 	首次	c=2 d=2.71949e-64 t=52095
shou dao 	收到	c=21 d=5.85706e-22 t=52095
shou dong 	手動	c=19 d=9.46924e-05 t=52095
shou du 	首都	c=1 d=1.49686e-69 t=52095
shou duan 	手段	c=1 d=2.90726e-26 t=52095
shou fa 	收發	c=8 d=9.91562e-52 t=52095
shou fu 	首付	c=16 d=4.97676e-78 t=52095
shou gong 	手工	c=1 d=4.79327e-26 t=52095
shou hui 	收回	c=1 d=1.69848e-85 t=52095
shou ji 	手機	c=17 d=5.74902e-19 t=52095
shou ji 	收集	c=1 d=1.47568e-19 t=52095
shou ji shang 	手機上	c=1 d=1.47337e-30 t=52095
shou ju 	收據	c=1 d=2.73164e-87 t=52095
shou kong 	受控	c=1 d=1.11963e-94 t=52095
shou kuan 	收款	c=1 d=9.39402e-89 t=52095
shou le 	收了	c=1 d=1.14423e-85 t=52095
shou li 	手裏	c=1 d=5.13682e-105 t=52095
shou lou chu 	售樓處	c=2 d=3.90127e-87 t=52095
shou lu 	收錄	c=1 d=1.18999e-17 t=52095
shou ming 	壽命	c=3 d=1.56581e-40 t=52095
shou qing 	售罄	c=2 d=7.91142e-90 t=52095
shou quan 	授權	c=5 d=1.21261e-59 t=52095
shou ru 	收入	c=6 d=4.40145e-78 t=52095
shou shi 	收拾	c=1 d=9.58084e-56 t=52095
shou tao 	手套	c=1 d=1.39729e-112 t=52095
shou tou shang 	手頭上	c=1 d=1.44921e-12 t=52095
shou xia 	手下	c=1 d=7.5271e-100 t=52095
shou xian 	受限	c=1 d=1.13076e-34 t=52095
shou xian 	首先	c=36 d=3.48507e-05 t=52095
shou xin 	收信	c=1 d=9.8679e-21 t=52095
shou xuan xiang 	首選項	c=2 d=1.4292e-96 t=52095
shou ye 	首頁	c=8 d=3.27337e-39 t=52095
shou yi 	受益	c=1 d=9.25288e-58 t=52095
shou yi fei qian 	受益匪淺	c=1 d=8.37236e-58 t=52095
shou zhen 	收幀	c=5 d=3.87295e-52 t=52095
shou zhi 	手指	c=1 d=6.19903e-81 t=52095
shou zi 	首字	c=1 d=2.43422e-25 t=52095
shou zi mu 	首字母	c=1 d=2.01219e-79 t=52095
shu 	丨	c=1 d=4.1692e-32 t=52095
shu 	叔	c=1 d=7.15025e-84 t=52095
shu 	庶	c=4 d=1.63403e-68 t=52095
shu 	數	c=16 d=2.24154e-26 t=52095
shu 	書	c=10 d=1.09847e-46 t=52095
shu 	樹	c=2 d=7.50219e-95 t=52095
shu chu 	輸出	c=28 d=0.0701227 t=52095
shu dan 	書單	c=1 d=2.10846e-70 t=52095
shu dian 	書店	c=1 d=1.04489e-46 t=52095
shu fu 	舒服	c=1 d=1.89927e-76 t=52095
shu gang 	豎槓	c=1 d=3.18844e-112 t=52095
shu ji 	書籍	c=9 d=7.06009e-23 t=52095
shu ju 	數據	c=394 d=0.211625 t=52095
shu ju hou 	數據後	c=1 d=1.54276e-42 t=52095
shu ju ku 	數據庫	c=1 d=3.88336e-20 t=52095
shu ju kuai 	數據塊	c=2 d=0.00348252 t=52095
shu ju liu 	數據流	c=1 d=7.71658e-69 t=52095
shu ju qu 	數據區	c=3 d=1.62666e-18 t=52095
shu ju yu 	數據域	c=2 d=3.1498e-60 t=52095
shu li 	梳理	c=3 d=1.95378e-56 t=52095
shu liang 	數量	c=9 d=9.93965e-18 t=52095
shu ma 	數碼	c=1 d=2.84554e-97 t=52095
shu mei 	樹莓	c=1 d=1.25788e-52 t=52095
shu qian 	書籤	c=1 d=6.36049e-60 t=52095
shu ren 	熟人	c=1 d=1.34213e-50 t=52095
shu ru 	輸入	c=36 d=0.00990793 t=52095
shu ru fa 	輸入法	c=9 d=1.11099e-18 t=52095
shu shi 	舒適	c=1 d=1.45862e-88 t=52095
shu shuo 	述說	c=1 d=3.80194e-06 t=52095
shu xi 	熟悉	c=1 d=1.35561e-50 t=52095
shu xian 	豎線	c=3 d=0.000278804 t=52095
shu xie 	書寫	c=3 d=7.35832e-104 t=52095
shu xing 	屬性	c=3 d=3.79692e-71 t=52095
shu xue 	數學	c=7 d=3.18674e-08 t=52095
shu yu 	屬於	c=8 d=5.6518e-15 t=52095
shu yu 	術語	c=7 d=4.05559e-05 t=52095
shu yu shi 	屬於是	c=1 d=1.00249e-88 t=52095
shu zhi 	數值	c=9 d=1.65812e-26 t=52095
shu zhi 	樹脂	c=2 d=2.02598e-34 t=52095
shu zhi 	熟知	c=2 d=1.01927e-48 t=52095
shu zhong 	書中	c=1 d=2.78881e-66 t=52095
shu zi 	數字	c=4 d=8.46281e-08 t=52095
shu zi xin hao 	數字信號	c=1 d=2.37276e-77 t=52095
shu zu 	數組	c=3 d=1.32995e-31 t=52095
shua 	耍	c=2 d=1.0794e-97 t=52095
shua xin 	刷新	c=21 d=6.39496e-06 t=52095
shuai 	帥	c=3 d=1.10624e-66 t=52095
shuai guo 	摔過	c=1 d=7.28625e-41 t=52095
shuai sui 	摔碎	c=1 d=3.28956e-97 t=52095
shuang 	雙	c=9 d=4.00497e-09 t=52095
shuang ceng 	雙層	c=1 d=1.42371e-09 t=52095
shuang ji 	雙擊	c=3 d=4.64405e-39 t=52095
shuang ka 	雙卡	c=3 d=5.30026e-48 t=52095
shuang pin 	雙拼	c=6 d=1.30113e-18 t=52095
shuang yin hao 	雙引號	c=1 d=2.47253e-91 t=52095
shuang zhen 	雙甄	c=1 d=1.21585e-64 t=52095
shui 	水	c=14 d=1.13213e-39 t=52095
shui 	稅	c=1 d=3.81802e-85 t=52095
shui 	誰	c=1 d=9.60696e-88 t=52095
shui biao 	水錶	c=40 d=5.1258e-21 t=52095
shui guo 	水果	c=3 d=7.64611e-96 t=52095
shui hu zhuan 	水滸傳	c=1 d=4.02854e-40 t=52095
shui lian 	水簾	c=1 d=1.26135e-55 t=52095
shui lian dong 	水簾洞	c=1 d=1.25926e-55 t=52095
shui lian dong tian 	水簾洞天	c=1 d=1.24257e-55 t=52095
shui lun 	水輪	c=1 d=3.81437e-15 t=52095
shui mian 	睡眠	c=1 d=2.88726e-33 t=52095
shui ping 	水平	c=2 d=3.99878e-41 t=52095
shui qi 	水氣	c=1 d=5.6158e-96 t=52095
shui qi re 	水氣熱	c=1 d=5.64395e-95 t=52095
shui wu 	水務	c=2 d=1.49092e-81 t=52095
shun 	瞬	c=4 d=1.81875e-94 t=52095
shun 	舜	c=1 d=2.08173e-67 t=52095
shun li 	順利	c=2 d=1.66467e-25 t=52095
shun shi 	瞬時	c=14 d=0.000925663 t=52095
shun shi xing 	瞬時型	c=2 d=1.96241e-94 t=52095
shun xu 	順序	c=21 d=3.68694e-06 t=52095
shuo 	說	c=30 d=0.0365359 t=52095
shuo ba 	說吧	c=1 d=2.18008e-110 t=52095
shuo dao 	說到	c=2 d=4.51783e-65 t=52095
shuo de 	說的	c=3 d=3.51991e-11 t=52095
shuo fa 	說法	c=1 d=6.0287e-18 t=52095
shuo hua 	說話	c=2 d=2.23936e-14 t=52095
shuo lai 	說來	c=1 d=7.92296e-56 t=52095
shuo le 	說了	c=4 d=4.9342e-14 t=52095
shuo ming 	說明	c=88 d=9.08637e-05 t=52095
shuo ni men 	說你們	c=1 d=9.22242e-78 t=52095
shuo qi 	說起	c=1 d=1.33802e-15 t=52095
shuo qi ne 	說起呢	c=1 d=1.34473e-14 t=52095
shuo shuo 	說說	c=4 d=3.91468e-85 t=52095
shuo wan 	說完	c=1 d=7.34375e-104 t=52095
shuo yi sheng 	說一聲	c=1 d=9.37166e-61 t=52095
shuo zhen de 	說真的	c=1 d=4.60909e-65 t=52095
si 	司	c=3 d=2.98035e-24 t=52095
si 	四	c=23 d=0.000320145 t=52095
si 	思	c=6 d=1.39749e-77 t=52095
si 	斯	c=10 d=6.09964e-29 t=52095
si 	絲	c=1 d=2.7501e-78 t=52095
si an 	司案	c=2 d=1.00849e-30 t=52095
si an 	斯岸	c=7 d=4.35815e-29 t=52095
si bu 	四步	c=3 d=1.2978e-06 t=52095
si da 	四大	c=1 d=3.49677e-51 t=52095
si dao pu 	死倒噗	c=1 d=3.86124e-41 t=52095
si dian 	四點	c=1 d=1.65552e-19 t=52095
si fa 	司法	c=1 d=5.33953e-31 t=52095
si fang 	四方	c=0 d=6.94861e-72 t=52095
si fang kuang 	四方框	c=1 d=6.98344e-71 t=52095
si fei lv 	四費率	c=1 d=1.81581e-18 t=52095
si ge 	四個	c=5 d=2.74402e-52 t=52095
si hu 	四戶	c=1 d=4.00546e-90 t=52095
si ji 	四季	c=3 d=7.05965e-53 t=52095
si ji 	死機	c=2 d=2.6936e-112 t=52095
si ji mu ge 	四季沐歌	c=1 d=1.27065e-112 t=52095
si jie 	四階	c=1 d=3.14458e-08 t=52095
si ju 	四句	c=0 d=0.164983 t=52095
si ju bu jian bei si ju 	四句不見被四句	c=1 d=0.822835 t=52095
si ju bu jian bei si jun 	四句不見被思君	c=1 d=0.83527 t=52095
si jun 	思君	c=1 d=0.839474 t=52095
si jun bu jian bei si jun 	思君不見倍思君	c=2 d=1.44621 t=52095
si kao 	思考	c=4 d=3.3109e-14 t=52095
si lu 	思路	c=2 d=2.146e-13 t=52095
si nian 	四年	c=2 d=1.39961e-14 t=52095
si ren 	私人	c=1 d=2.68677e-98 t=52095
si shi jiu 	四十九	c=0 d=7.32277e-42 t=52095
si suo 	死锁	c=1 d=7.75287e-36 t=52095
si te 	斯特	c=0 d=3.29952e-16 t=52095
si te lin 	斯特林	c=1 d=3.31606e-15 t=52095
si xiang 	思想	c=2 d=1.16713e-70 t=52095
si xin 	私信	c=1 d=8.60303e-113 t=52095
si you 	私有	c=7 d=1.15944e-28 t=52095
si yuan 	思源	c=56 d=5.6163e-15 t=52095
si yuan song ti 	思源宋體	c=1 d=7.00628e-80 t=52095
si ze 	四則	c=1 d=1.12742e-58 t=52095
si zi 	四字	c=0 d=1.52497e-83 t=52095
si zi jie 	四字節	c=3 d=1.95408e-64 t=52095
song 	宋	c=4 d=6.08825e-16 t=52095
song 	送	c=4 d=1.06898e-20 t=52095
song guo qu 	送過去	c=1 d=6.87223e-88 t=52095
song kai 	鬆開	c=1 d=3.68921e-93 t=52095
song ta 	送他	c=1 d=4.53352e-47 t=52095
song ti 	宋體	c=26 d=2.86602e-05 t=52095
sou 	搜	c=2 d=6.95098e-75 t=52095
sou biao 	搜表	c=8 d=0.000724579 t=52095
sou sou 	搜搜	c=2 d=1.28753e-32 t=52095
sou suo 	搜索	c=2 d=0.00010872 t=52095
su 	蘇	c=2 d=0.00511796 t=52095
su 	速	c=1 d=2.17452e-80 t=52095
su bin zhuang er 	素斌裝二	c=1 d=1.04792e-80 t=52095
su du 	速度	c=15 d=6.17425e-17 t=52095
su hua 	俗話	c=1 d=3.52148e-75 t=52095
su hua shuo 	俗話說	c=1 d=8.28764e-56 t=52095
su ke 	塑殼	c=1 d=3.56062e-58 t=52095
su lv 	速率	c=12 d=4.25645e-11 t=52095
suan cai 	酸菜	c=0 d=3.93832e-98 t=52095
suan chu 	算出	c=1 d=9.91567e-19 t=52095
suan fa 	算法	c=21 d=1.01074e-08 t=52095
suan le 	算了	c=3 d=5.75135e-52 t=52095
suan li 	算力	c=1 d=2.00092e-13 t=52095
suan li 	算曆	c=1 d=1.99094e-13 t=52095
suan shi 	算是	c=1 d=2.51836e-13 t=52095
sui 	歲	c=3 d=2.92224e-20 t=52095
sui 	碎	c=1 d=1.33775e-41 t=52095
sui 	遂	c=16 d=0.000154549 t=52095
sui 	隨	c=4 d=5.05809e-41 t=52095
sui bi 	隨筆	c=1 d=1.10075e-41 t=52095
sui bian 	隨便	c=3 d=7.89335e-13 t=52095
sui bian qu 	隨便取	c=1 d=7.93292e-12 t=52095
sui da 	雖大	c=1 d=3.32782e-86 t=52095
sui dao 	隧道	c=3 d=2.48948e-46 t=52095
sui feng 	隨風	c=2 d=2.42923e-19 t=52095
sui hou 	隨後	c=3 d=3.82608e-51 t=52095
sui ji 	隨機	c=2 d=7.70739e-55 t=52095
sui ran 	雖然	c=3 d=2.33059e-05 t=52095
sui shi 	隨時	c=1 d=6.57542e-98 t=52095
sui shuo 	雖說	c=1 d=3.40753e-41 t=52095
sui sui nian 	碎碎念	c=1 d=1.04475e-15 t=52095
sui xin 	隨心	c=1 d=1.40562e-35 t=52095
sui yi 	隨意	c=1 d=8.44301e-98 t=52095
sui yong 	隨用	c=2 d=1.33669e-104 t=52095
sui yuan 	隨緣	c=1 d=8.40601e-17 t=52095
sui yue 	歲月	c=1 d=2.71478e-73 t=52095
sui zhe 	隨着	c=3 d=1.56938e-08 t=52095
sui zhi 	隨之	c=2 d=2.44226e-05 t=52095
sun 	孫	c=1 d=6.83214e-78 t=52095
sun cun 	孫村	c=12 d=0.0133217 t=52095
suo 	所	c=19 d=0.326941 t=52095
suo 	鎖	c=2 d=2.96684e-110 t=52095
suo chu 	所處	c=1 d=7.34321e-15 t=52095
suo ding 	鎖定	c=5 d=5.42467e-70 t=52095
suo duan 	縮短	c=5 d=1.10418e-77 t=52095
suo fang 	縮放	c=2 d=8.74906e-68 t=52095
suo fei ya 	索菲亞	c=2 d=4.7364e-25 t=52095
suo guo 	鎖國	c=1 d=3.06319e-23 t=52095
suo jin 	縮進	c=3 d=4.95988e-16 t=52095
suo ni 	索尼	c=1 d=4.62166e-97 t=52095
suo shuo 	所說	c=2 d=9.38633e-50 t=52095
suo xiao 	縮小	c=1 d=2.70188e-17 t=52095
suo xie 	縮寫	c=4 d=1.06196e-19 t=52095
suo xu 	所需	c=7 d=8.81718e-20 t=52095
suo xu yao 	所需要	c=1 d=3.11723e-111 t=52095
suo xue 	所學	c=1 d=7.15657e-65 t=52095
suo yao 	所要	c=1 d=1.68283e-35 t=52095
suo yi 	所以	c=35 d=0.000153348 t=52095
suo yin 	索引	c=2 d=1.84313e-76 t=52095
suo yong 	所用	c=3 d=1.56555e-26 t=52095
suo yong dao 	所用到	c=1 d=5.29343e-76 t=52095
suo you 	所有	c=31 d=0.000159811 t=52095
suo zai 	所在	c=3 d=1.9082e-43 t=52095
suo zai di 	所在地	c=1 d=3.90071e-43 t=52095
suo zhan yong 	所佔用	c=1 d=4.59001e-75 t=52095
suo zhi 	所指	c=1 d=2.33989e-60 t=52095
suo zhi 	所致	c=2 d=4.31008e-70 t=52095
suo zuo 	所做	c=2 d=1.0699e-30 t=52095
ta 	他	c=19 d=1.33217e-11 t=52095
ta 	塌	c=0 d=1.39984e-17 t=52095
ta 	塔	c=0 d=4.2465e-102 t=52095
ta 	她	c=8 d=4.08198e-08 t=52095
ta 	它	c=33 d=0.812698 t=52095
ta ma 	他媽	c=1 d=6.49472e-41 t=52095
ta ma de 	他媽的	c=1 d=6.24005e-41 t=52095
ta men 	他們	c=4 d=1.354e-36 t=52095
ta men 	它們	c=1 d=5.93957e-78 t=52095
ta ren 	他人	c=4 d=3.22093e-12 t=52095
ta shi 	踏實	c=1 d=2.97408e-58 t=52095
ta shuo 	他說	c=2 d=1.36902e-69 t=52095
tai 	太	c=7 d=1.5561e-55 t=52095
tai 	態	c=10 d=7.47452e-47 t=52095
tai 	泰	c=2 d=4.7038e-69 t=52095
tai 	臺	c=15 d=5.96262e-06 t=52095
tai cha 	太差	c=3 d=0.000124028 t=52095
tai da 	太大	c=2 d=6.0684e-07 t=52095
tai duan 	太短	c=1 d=6.68525e-87 t=52095
tai gong 	太公	c=2 d=4.21516e-69 t=52095
tai he jin 	鈦合金	c=1 d=9.03856e-47 t=52095
tai hei 	太黑	c=2 d=2.99076e-55 t=52095
tai jian 	太監	c=1 d=5.99659e-14 t=52095
tai jun 	太君	c=1 d=2.15625e-69 t=52095
tai kong 	太空	c=6 d=2.38602e-25 t=52095
tai lan 	太懶	c=1 d=8.28086e-17 t=52095
tai shi ji 	臺式機	c=7 d=3.4525e-45 t=52095
tai tou 	擡頭	c=2 d=1.33369e-109 t=52095
tai wan 	臺灣	c=16 d=2.52897e-26 t=52095
tai yang 	太陽	c=3 d=1.25941e-52 t=52095
tai yang neng deng 	太陽能燈	c=1 d=1.27702e-112 t=52095
tai yin 	太陰	c=2 d=1.15086e-52 t=52095
tai yin li 	太陰曆	c=1 d=8.51654e-53 t=52095
tan 	彈	c=1 d=3.9779e-97 t=52095
tan 	探	c=2 d=0.0997588 t=52095
tan 	碳	c=1 d=1.58856e-92 t=52095
tan 	譚	c=1 d=2.12083e-80 t=52095
tan chuang 	弹窗	c=2 d=3.88492e-97 t=52095
tan dao 	談到	c=1 d=9.06658e-54 t=52095
tan huang 	彈簧	c=1 d=6.26133e-81 t=52095
tan jiu 	探究	c=2 d=1.88005e-74 t=52095
tan shang qu 	彈上去	c=1 d=5.02483e-81 t=52095
tan tao 	探討	c=2 d=5.54876e-42 t=52095
tan xun 	探尋	c=5 d=1.80449e-62 t=52095
tang 	唐	c=3 d=3.50765e-89 t=52095
tang 	趟	c=1 d=2.19443e-99 t=52095
tang ang si 	唐盎司	c=1 d=3.51658e-88 t=52095
tang mu 	湯姆	c=0 d=3.49298e-98 t=52095
tang mu jia 	湯姆家	c=2 d=8.04065e-97 t=52095
tang pu sen 	湯普森	c=1 d=1.88459e-73 t=52095
tang ruo 	倘若	c=11 d=1.4105e-17 t=52095
tang shan 	湯山	c=1 d=1.57275e-92 t=52095
tang wu 	堂屋	c=1 d=1.23637e-55 t=52095
tao 	套	c=3 d=8.35266e-59 t=52095
tao bao 	淘寶	c=1 d=1.29174e-41 t=52095
tao can 	套餐	c=7 d=9.11397e-47 t=52095
tao fa 	討伐	c=1 d=1.04831e-55 t=52095
tao guo 	逃過	c=1 d=1.03221e-20 t=52095
tao jian 	套件	c=11 d=7.64839e-48 t=52095
tao lun 	討論	c=17 d=0.108958 t=52095
