# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	21961
#@/user_id	2be3b896-1e2b-4276-bba3-679b8b3580b5
a 	啊	c=7 d=0.08291 t=21961
xiao de 	曉得	c=1 d=1.1063e-12 t=21961
xiao hao 	消耗	c=1 d=5.7298e-08 t=21961
xiao he shuang pin 	小鶴雙拼	c=3 d=1.00557 t=21961
xiao huo ban 	小夥伴	c=1 d=7.86896e-05 t=21961
xiao ji 	小記	c=1 d=7.57998e-06 t=21961
xiao lei 	小類	c=1 d=2.74747e-08 t=21961
xiao lv 	效率	c=2 d=0.647265 t=21961
xiao men 	校門	c=2 d=5.18093e-11 t=21961
xiao qu 	小區	c=2 d=6.67545e-11 t=21961
xiao shi 	小時	c=21 d=1.40238 t=21961
xiao shu dian 	小數點	c=1 d=5.43813e-11 t=21961
xiao xi 	消息	c=33 d=5.59806 t=21961
xiao xi zhong 	消息中	c=1 d=0.00923273 t=21961
xiao xiao 	小小	c=1 d=8.19009e-05 t=21961
xiao yu 	小於	c=2 d=0.0987662 t=21961
xiao zhong 	小衆	c=1 d=0.00449405 t=21961
xie 	些	c=4 d=0.115547 t=21961
xie 	寫	c=13 d=0.664674 t=21961
xie dai 	攜帶	c=1 d=0.000605171 t=21961
xie dao 	寫到	c=1 d=8.08603e-31 t=21961
xie dao 	寫道	c=2 d=1.73814e-30 t=21961
xie ding 	協定	c=1 d=0.0017643 t=21961
xie fa 	寫法	c=2 d=2.683e-15 t=21961
xie guo 	謝過	c=1 d=2.15119e-12 t=21961
xie lou 	泄漏	c=1 d=0.0236356 t=21961
xie ru 	寫入	c=13 d=1.40263 t=21961
xie si 	寫死	c=1 d=4.54308e-13 t=21961
xie suo yin 	寫索引	c=1 d=0.408608 t=21961
xie yi 	協議	c=3 d=0.00150344 t=21961
xie zhi zhen 	寫指針	c=5 d=1.6503 t=21961
xie zhu 	協助	c=8 d=0.00632748 t=21961
xin 	信	c=3 d=0.000143382 t=21961
xin 	心	c=1 d=4.41797e-08 t=21961
xin 	新	c=23 d=0.249075 t=21961
xin 	鑫	c=1 d=1.25924e-06 t=21961
xin ban 	新版	c=2 d=5.53179e-06 t=21961
xin chun jia jie 	新春佳節	c=1 d=4.2637e-31 t=21961
xin de 	新的	c=2 d=0.511709 t=21961
xin gong neng 	新功能	c=1 d=2.75505e-11 t=21961
xin hao 	信號	c=2 d=0.12307 t=21961
xin hua 	新華	c=1 d=7.17556e-08 t=21961
xin jian 	新建	c=2 d=1.79755e-09 t=21961
xin jiang 	新疆	c=2 d=2.34325e-06 t=21961
xin jiu 	新舊	c=1 d=1.18325e-09 t=21961
xin ku 	辛苦	c=0 d=1.49051e-20 t=21961
xin ku la 	辛苦啦	c=1 d=1.49798e-19 t=21961
xin lian 	新聯	c=4 d=2.2288e-06 t=21961
xin pian 	芯片	c=13 d=0.00387092 t=21961
xin tiao 	心跳	c=12 d=0.0539396 t=21961
xin xi 	信息	c=30 d=0.0645787 t=21961
xin xi hua 	信息化	c=1 d=3.49331e-10 t=21961
xin xian 	新鮮	c=1 d=0.0569831 t=21961
xin xu qiu 	新需求	c=1 d=0.000675539 t=21961
xin zeng 	新增	c=28 d=1.22003 t=21961
xing 	型	c=65 d=2.0028 t=21961
xing 	形	c=2 d=2.11402e-22 t=21961
xing 	性	c=6 d=0.894718 t=21961
xing 	興	c=3 d=0.00109172 t=21961
xing 	行	c=14 d=0.220545 t=21961
xing 	邢	c=1 d=0.771052 t=21961
xing 	醒	c=10 d=1.80684e-06 t=21961
xing can 	形參	c=2 d=0.0911727 t=21961
xing cheng 	形成	c=1 d=0.000665481 t=21961
xing hao 	型號	c=17 d=0.946485 t=21961
xing lai 	醒來	c=2 d=6.89655e-12 t=21961
xing qi san 	星期三	c=1 d=7.96158e-25 t=21961
xing shi 	形式	c=1 d=2.7051e-31 t=21961
xing wei 	行爲	c=2 d=0.00484407 t=21961
xing wen 	行文	c=1 d=8.17034e-06 t=21961
xing zheng 	行政	c=1 d=1.51932e-09 t=21961
xing zheng qu hua 	行政區劃	c=1 d=0.0713613 t=21961
xiong pu 	胸脯	c=1 d=3.02179e-10 t=21961
xiong ya li 	匈牙利	c=1 d=1.13138e-11 t=21961
xiu 	休	c=1 d=7.69847e-12 t=21961
xiu 	修	c=1 d=6.34988e-11 t=21961
xiu ding 	修訂	c=1 d=0.000564257 t=21961
xiu fu 	修復	c=39 d=0.559898 t=21961
xiu gai 	修改	c=72 d=1.4433 t=21961
xiu gai zhi 	修改值	c=1 d=8.15341e-11 t=21961
xiu mian 	休眠	c=38 d=0.00743705 t=21961
xiu mian qian 	休眠前	c=2 d=7.75444e-09 t=21961
xiu shi 	修飾	c=10 d=0.0135543 t=21961
xiu zheng 	修正	c=1 d=6.22414e-11 t=21961
xu 	許	c=1 d=4.14924e-05 t=21961
xu 	需	c=8 d=2.04155 t=21961
xu duo 	許多	c=2 d=3.43806e-31 t=21961
xu fa ge 	徐法格	c=3 d=0.616064 t=21961
xu hao 	序號	c=7 d=0.57695 t=21961
xu hua 	虛化	c=1 d=6.25428e-09 t=21961
xu huan 	虛幻	c=1 d=0.0327124 t=21961
xu jin shen 	需謹慎	c=1 d=1.213e-07 t=21961
xu lie hao 	序列號	c=6 d=3.73439 t=21961
xu ni 	虛擬	c=3 d=7.7158e-06 t=21961
xu qiu 	需求	c=19 d=0.415006 t=21961
xu shu 	虛數	c=1 d=7.94804e-05 t=21961
xu yao 	需要	c=76 d=1.83803 t=21961
xuan 	懸	c=1 d=2.5371e-12 t=21961
xuan 	選	c=1 d=9.57432e-48 t=21961
xuan ran 	渲染	c=1 d=0.0953692 t=21961
xuan xiang 	選項	c=5 d=0.000349178 t=21961
xuan ze 	選擇	c=16 d=0.965963 t=21961
xue 	學	c=1 d=1.2375e-07 t=21961
xue 	薛	c=2 d=7.06873e-08 t=21961
xue kun 	薛坤	c=1 d=6.38171e-11 t=21961
xue xi 	學習	c=4 d=0.0261619 t=21961
xun huan 	循環	c=10 d=0.0336079 t=21961
xun jian 	巡檢	c=9 d=0.000312378 t=21961
xun qiu 	尋求	c=1 d=0.122456 t=21961
ya 	呀	c=3 d=0.145148 t=21961
ya cha 	壓差	c=1 d=4.60375e-22 t=21961
ya li 	壓力	c=2 d=0.00124328 t=21961
ya suo 	壓縮	c=1 d=1.01684e-20 t=21961
ya tui 	鴨腿	c=1 d=8.577e-48 t=21961
yan 	眼	c=1 d=5.83145e-09 t=21961
yan chang 	延長	c=4 d=9.4084e-13 t=21961
yan hou 	延後	c=1 d=0.113042 t=21961
yan jiu 	研究	c=5 d=0.00565622 t=21961
yan ma 	掩碼	c=10 d=0.00145527 t=21961
yan se 	顏色	c=2 d=0.00033887 t=21961
yan shi 	延時	c=17 d=0.898643 t=21961
yan yong 	沿用	c=1 d=2.11585e-23 t=21961
yang 	樣	c=1 d=3.48003e-24 t=21961
yang ben 	樣本	c=1 d=6.44475e-09 t=21961
yao 	要	c=65 d=1.00322 t=21961
yao qiu 	要求	c=1 d=0.000114493 t=21961
yao she de 	要設的	c=1 d=0.0018734 t=21961
yao xin 	遙信	c=1 d=0.000685748 t=21961
yao yuan 	遙遠	c=1 d=1.65041e-12 t=21961
ye 	也	c=18 d=0.438235 t=21961
ye 	頁	c=14 d=0.955997 t=21961
ye hen 	也很	c=1 d=0.0141223 t=21961
ye hen jian dan 	也很簡單	c=1 d=3.57919e-31 t=21961
ye hui 	也會	c=1 d=1.01809e-05 t=21961
ye jian 	夜間	c=1 d=0.00154923 t=21961
ye jiang 	也將	c=0 d=7.61514e-32 t=21961
ye jiang di le 	也將低了	c=1 d=7.65331e-31 t=21961
ye jing 	液晶	c=4 d=0.00550808 t=21961
ye jiu 	也就	c=2 d=3.44781e-31 t=21961
ye jiu shi 	也就是	c=1 d=0.140156 t=21961
ye jiu shi shuo 	也就是說	c=2 d=0.00352298 t=21961
ye ke yi 	也可以	c=1 d=7.11384e-24 t=21961
ye mian 	頁面	c=4 d=0.822835 t=21961
ye neng 	也能	c=1 d=0.000117391 t=21961
ye qu 	野區	c=1 d=4.7195e-20 t=21961
ye shi 	也是	c=1 d=2.02275e-23 t=21961
ye wan 	夜晚	c=1 d=2.95985e-31 t=21961
ye wu 	業務	c=2 d=1.94366e-06 t=21961
ye you 	也有	c=2 d=0.138761 t=21961
ye zhu 	業主	c=1 d=7.06489e-31 t=21961
yi 	一	c=40 d=1.00886 t=21961
yi 	以	c=28 d=1.8283 t=21961
yi 	已	c=33 d=1.79586 t=21961
yi 	益	c=0 d=0.00238732 t=21961
yi ban 	一版	c=5 d=0.913931 t=21961
yi ban 	一般	c=2 d=1.59413e-08 t=21961
yi bao 	一包	c=1 d=3.56813e-24 t=21961
yi bian 	一變	c=1 d=1.26681e-47 t=21961
yi bian 	以便	c=1 d=5.56046e-08 t=21961
yi bian 	易變	c=3 d=2.18266e-05 t=21961
yi biao 	儀表	c=3 d=1.14328 t=21961
yi bu 	一部	c=1 d=1.17715e-07 t=21961
yi bu fen 	一部分	c=3 d=0.0267329 t=21961
yi bu yi bu 	一步一步	c=1 d=1.49335e-12 t=21961
yi chang 	異常	c=20 d=1.83718 t=21961
yi chu 	移除	c=1 d=0.366045 t=21961
yi ci 	一次	c=36 d=2.6554 t=21961
yi ci 	一詞	c=1 d=8.98124e-31 t=21961
yi ci 	依次	c=3 d=0.000242576 t=21961
yi ci biao 	一次表	c=1 d=3.45315e-21 t=21961
yi ci xing 	一次性	c=1 d=0.00946646 t=21961
yi da 	一大	c=1 d=1.16302e-12 t=21961
yi dan 	一旦	c=1 d=2.32355e-07 t=21961
yi dao 	一道	c=2 d=1.55712e-47 t=21961
yi dian 	一點	c=2 d=0.000150592 t=21961
yi ding 	一定	c=4 d=0.814647 t=21961
yi ding 	議定	c=1 d=1.79402e-23 t=21961
yi dong 	移動	c=7 d=3.26151e-05 t=21961
yi dong hou 	移動後	c=1 d=5.68941e-13 t=21961
yi du 	已讀	c=3 d=0.416696 t=21961
yi duan 	一段	c=7 d=0.882497 t=21961
yi dui 	一堆	c=1 d=0.0306538 t=21961
yi fa xian 	以發現	c=1 d=0.57695 t=21961
yi fan 	一番	c=3 d=0.110627 t=21961
yi fen zhong 	一分鐘	c=2 d=0.00727061 t=21961
yi feng xin 	一封信	c=1 d=1.49645e-07 t=21961
yi fu yu 	依附於	c=1 d=1.46982e-31 t=21961
yi ge 	一個	c=52 d=0.642343 t=21961
yi gong 	以供	c=1 d=8.15618e-15 t=21961
yi han 	遺憾	c=2 d=5.02337e-05 t=21961
yi hou 	以後	c=3 d=2.86602e-05 t=21961
yi ji 	一級	c=1 d=6.54613e-10 t=21961
yi ji 	以及	c=8 d=0.744576 t=21961
yi ji zi biao 	一級字表	c=1 d=6.3488e-09 t=21961
yi jing 	已經	c=25 d=3.74478 t=21961
yi ju 	一句	c=1 d=1.05982e-07 t=21961
yi ju 	依據	c=2 d=0.00199614 t=21961
yi kai shi 	一開始	c=2 d=1.43494e-05 t=21961
yi kan 	一看	c=1 d=5.88805e-05 t=21961
yi kuai 	一塊	c=1 d=0.0409665 t=21961
yi lai 	以來	c=1 d=9.73454e-08 t=21961
yi lai 	依賴	c=5 d=0.633346 t=21961
yi lan 	一覽	c=1 d=1.46303e-06 t=21961
yi liang 	一兩	c=1 d=1.46124e-21 t=21961
yi liu 	遺留	c=3 d=0.923116 t=21961
yi lou 	一樓	c=2 d=3.08049e-21 t=21961
yi lu 	一路	c=1 d=5.75852e-08 t=21961
yi lun 	一輪	c=1 d=3.97072e-17 t=21961
yi lv 	一律	c=1 d=0.000262568 t=21961
yi mao 	一毛	c=1 d=4.56275e-05 t=21961
yi men 	一門	c=1 d=4.56508e-11 t=21961
yi mian 	一面	c=1 d=1.94648e-12 t=21961
yi miao 	一秒	c=1 d=1.48641e-16 t=21961
yi miao 	疫苗	c=1 d=2.58607e-31 t=21961
yi nan za zheng 	疑難雜症	c=1 d=1.35801e-12 t=21961
yi nu 	易怒	c=2 d=1.67894 t=21961
yi pian 	一篇	c=3 d=4.20798e-05 t=21961
yi qi 	一起	c=1 d=1.6244e-31 t=21961
yi qian 	一千	c=1 d=7.87808e-48 t=21961
yi qian 	以前	c=2 d=4.17265e-31 t=21961
yi que bao 	已確保	c=1 d=0.932394 t=21961
yi shan 	一扇	c=1 d=1.97589e-12 t=21961
yi shang 	以上	c=4 d=0.017232 t=21961
yi shi 	伊始	c=1 d=9.16609e-06 t=21961
yi shu 	藝術	c=3 d=6.62388e-08 t=21961
yi si 	意思	c=4 d=4.23581e-05 t=21961
yi tai 	以太	c=1 d=0.000536738 t=21961
yi tai wang 	以太網	c=1 d=0.000531398 t=21961
yi tao 	一套	c=2 d=0.008271 t=21961
yi tian 	一天	c=7 d=0.00812745 t=21961
yi tian hou 	一天後	c=2 d=3.1288e-20 t=21961
yi tiao 	一條	c=7 d=0.774916 t=21961
yi tie 	一帖	c=1 d=1.36482e-12 t=21961
yi wai 	以外	c=3 d=6.62275e-06 t=21961
yi wai 	意外	c=1 d=1.99956e-05 t=21961
yi wei 	一位	c=4 d=0.00324708 t=21961
yi wei 	以爲	c=1 d=0.00319873 t=21961
yi wei 	移位	c=1 d=0.00701293 t=21961
yi wen 	疑問	c=2 d=0.0308074 t=21961
yi wu 	一五	c=1 d=0.0262523 t=21961
yi xia 	一下	c=36 d=0.839521 t=21961
yi xia 	以下	c=10 d=0.0066709 t=21961
yi xia ba 	一下吧	c=1 d=0.000784864 t=21961
yi xia gong neng 	以下功能	c=1 d=4.43469e-23 t=21961
yi xie 	一些	c=7 d=0.00412855 t=21961
yi xing 	一型	c=2 d=1.87404e-07 t=21961
yi xing 	一醒	c=1 d=0.0199405 t=21961
yi xing lian 	異性戀	c=1 d=0.0156858 t=21961
yi yang 	一樣	c=7 d=0.0160027 t=21961
yi yi 	一一	c=1 d=0.0105672 t=21961
yi yi 	意義	c=8 d=0.0180083 t=21961
yi yi dang 	意義黨	c=1 d=0.0169075 t=21961
yi yi dui ying 	一一對應	c=1 d=3.78426e-10 t=21961
yi yong 	已用	c=1 d=9.05916e-15 t=21961
yi you 	已有	c=3 d=1.04938 t=21961
yi zai 	意在	c=1 d=1.5201e-15 t=21961
yi zhang 	一張	c=1 d=1.59283e-06 t=21961
yi zhen 	一幀	c=9 d=3.33595 t=21961
yi zhi 	一直	c=3 d=0.675881 t=21961
yi zhi 	一致	c=1 d=0.00195963 t=21961
yi zhi 	一隻	c=1 d=9.52201e-13 t=21961
yi zhi 	已知	c=2 d=0.00670434 t=21961
yi zhi 	移植	c=6 d=0.759373 t=21961
yi zhi 	移至	c=1 d=1.78695e-06 t=21961
yi zhi yu 	以至於	c=3 d=0.0344039 t=21961
yi zhong 	一種	c=6 d=0.743754 t=21961
yi zhong 	一衆	c=2 d=4.63363e-05 t=21961
yi zi 	一字	c=0 d=5.66296e-18 t=21961
yi zi jie 	一字節	c=7 d=0.401063 t=21961
yi zu 	一組	c=1 d=0.141564 t=21961
yin 	因	c=3 d=0.00687406 t=21961
yin biao 	音標	c=1 d=2.17806e-11 t=21961
yin chu 	引出	c=1 d=2.04732e-18 t=21961
yin ci 	因此	c=2 d=0.752014 t=21961
yin dao 	引導	c=1 d=0.818731 t=21961
yin hao 	引號	c=1 d=2.07897e-22 t=21961
yin huan 	隱患	c=1 d=0.0042963 t=21961
yin jiao 	引腳	c=6 d=1.21051 t=21961
yin qi 	引起	c=1 d=5.18172e-31 t=21961
yin shua 	印刷	c=1 d=0.00134011 t=21961
yin shui 	飲水	c=0 d=0.000729913 t=21961
yin te nai te 	因特乃特	c=1 d=1.87015e-12 t=21961
yin te nai te 	因特奈特	c=1 d=2.17281e-12 t=21961
yin wei 	因爲	c=14 d=0.271173 t=21961
yin yi wei jie 	引以爲戒	c=1 d=9.68434e-06 t=21961
yin yong 	引用	c=4 d=5.3074e-05 t=21961
yin yue 	音樂	c=1 d=1.67677e-22 t=21961
ying 	應	c=12 d=4.31857e-05 t=21961
ying 	硬	c=0 d=3.07007e-21 t=21961
ying cai 	硬菜	c=1 d=7.20002e-48 t=21961
ying da 	應答	c=21 d=1.43047 t=21961
ying da zhen 	應答幀	c=1 d=2.9507e-24 t=21961
ying dang 	應當	c=4 d=3.0057e-06 t=21961
ying gai 	應該	c=27 d=0.904837 t=21961
ying gai gou 	應該夠	c=1 d=0.092089 t=21961
ying gai shi 	應該是	c=2 d=2.747e-06 t=21961
ying jian 	硬件	c=16 d=0.206395 t=21961
ying lian jie 	硬鏈接	c=1 d=3.08546e-20 t=21961
ying she 	映射	c=4 d=0.1515 t=21961
ying shi 	影視	c=1 d=1.66841e-22 t=21961
ying wei 	應爲	c=2 d=0.000166586 t=21961
ying wen 	英文	c=1 d=2.09409e-19 t=21961
ying xiang 	影響	c=8 d=1.1038 t=21961
ying xiang li 	影響力	c=1 d=1.96979e-05 t=21961
ying xiao 	營銷	c=1 d=3.47589e-10 t=21961
ying xiong lian meng 	英雄聯盟	c=1 d=1.68455e-47 t=21961
ying yong 	應用	c=20 d=0.918512 t=21961
ying yong ceng 	應用層	c=4 d=0.22091 t=21961
ying yu 	英語	c=5 d=0.162838 t=21961
ying zai 	應在	c=1 d=1.61855e-18 t=21961
yo 	喲	c=1 d=3.29783e-09 t=21961
yong 	永	c=1 d=0.00108628 t=21961
yong 	用	c=42 d=1.24972 t=21961
yong chu 	用處	c=1 d=1.16623e-15 t=21961
yong ci 	用詞	c=2 d=1.68746e-30 t=21961
yong dao 	用到	c=1 d=5.60852e-21 t=21961
yong dian 	用電	c=1 d=0.000757869 t=21961
yong fa 	用法	c=1 d=3.52722e-06 t=21961
yong guo 	用過	c=2 d=1.37264e-07 t=21961
yong hu 	用戶	c=8 d=0.0194436 t=21961
yong hu lei xing 	用戶類型	c=1 d=0.00618889 t=21961
yong lai 	用來	c=8 d=0.171003 t=21961
yong le 	用了	c=1 d=0.0294518 t=21961
yong ma 	用嗎	c=3 d=6.9323e-14 t=21961
yong qi lai 	用起來	c=1 d=0.0096577 t=21961
yong sheng 	永生	c=1 d=1.93506e-31 t=21961
yong tu 	用途	c=6 d=0.00022941 t=21961
yong yi 	用以	c=1 d=3.80052e-31 t=21961
yong you 	擁有	c=1 d=1.44199e-12 t=21961
yong yu 	用於	c=26 d=0.233403 t=21961
you 	又	c=9 d=0.0546509 t=21961
you 	右	c=2 d=3.38074e-07 t=21961
you 	有	c=95 d=2.25422 t=21961
you 	由	c=12 d=0.509156 t=21961
you ba ta 	有把它	c=1 d=4.34983e-31 t=21961
you bian 	右邊	c=3 d=1.30583e-23 t=21961
you de 	有得	c=1 d=9.52657e-48 t=21961
you deng 	油燈	c=1 d=3.7627e-31 t=21961
you dian 	優點	c=1 d=5.18542e-10 t=21961
you dian 	有點	c=2 d=1.60468e-05 t=21961
you duo shao 	有多少	c=1 d=0.130029 t=21961
you duo shao ren 	有多少人	c=0 d=9.44684e-09 t=21961
you duo shao ren he wo yi yang 	有多少人和我一樣	c=1 d=9.4942e-08 t=21961
you fang 	有方	c=1 d=0.00388746 t=21961
you feng xian 	有風險	c=1 d=1.07047e-07 t=21961
you fu hao 	有符號	c=9 d=0.0175817 t=21961
you guan 	有關	c=1 d=1.31671e-31 t=21961
you hai 	有害	c=2 d=1.48131e-05 t=21961
you he 	有何	c=1 d=3.74533e-06 t=21961
you hua 	優化	c=90 d=4.28432 t=21961
you ji ge 	有幾個	c=2 d=4.73622e-24 t=21961
you jia 	油價	c=1 d=0.40657 t=21961
you jian 	右鍵	c=1 d=9.07797e-10 t=21961
you ke neng 	有可能	c=4 d=0.000119762 t=21961
you kong 	有空	c=1 d=0.000812821 t=21961
you le 	有了	c=0 d=3.93589e-32 t=21961
you mei you 	有沒有	c=3 d=0.980659 t=21961
you qi 	右起	c=2 d=3.09238e-09 t=21961
you qi 	尤其	c=1 d=0.000269215 t=21961
you ran zi de 	悠然自得	c=1 d=3.15863e-31 t=21961
you ren 	有人	c=1 d=1.98614e-14 t=21961
you she me 	有什麼	c=1 d=1.9371e-14 t=21961
you shi 	優勢	c=2 d=0.0332584 t=21961
you shi 	又是	c=1 d=4.53999e-05 t=21961
you shi 	有事	c=1 d=3.80194e-06 t=21961
you shi hou 	有時候	c=1 d=0.256661 t=21961
you suo 	有所	c=1 d=7.16069e-13 t=21961
you wen ti 	有問題	c=2 d=0.511709 t=21961
you wu 	有誤	c=1 d=0.00190171 t=21961
you xi 	遊戲	c=3 d=0.00946646 t=21961
you xian 	優先	c=10 d=0.00141365 t=21961
you xian 	有線	c=2 d=0.23947 t=21961
you xian 	有限	c=3 d=0.17304 t=21961
you xian ji 	優先級	c=3 d=7.12568e-48 t=21961
you xiang 	郵箱	c=10 d=6.82865e-09 t=21961
you xiao 	有效	c=13 d=0.00217665 t=21961
you xiao de 	有效的	c=2 d=4.86678e-48 t=21961
you xie 	有些	c=2 d=0.000622571 t=21961
you yi shi 	有意識	c=1 d=7.50176e-31 t=21961
you yong 	有用	c=1 d=0.00775048 t=21961
you yu 	由於	c=18 d=0.845259 t=21961
you zhi 	優質	c=4 d=6.20972e-22 t=21961
yu 	域	c=10 d=0.000236348 t=21961
yu 	於	c=16 d=0.604255 t=21961
yu 	玉	c=1 d=0.774916 t=21961
yu 	與	c=72 d=1.38341 t=21961
yu 	預	c=3 d=2.58527e-17 t=21961
yu ce 	預測	c=0 d=1.03081e-05 t=21961
yu ce qi 	預測器	c=1 d=0.000103597 t=21961
yu fa 	語法	c=2 d=1.523e-08 t=21961
yu fa 	預發	c=3 d=8.98311e-11 t=21961
yu ji 	預計	c=1 d=6.13252e-13 t=21961
yu ju 	語句	c=14 d=0.000784864 t=21961
yu ju liu 	語句流	c=1 d=1.01719e-24 t=21961
yu min 	漁民	c=1 d=3.1272e-31 t=21961
yu ming 	域名	c=2 d=0.0157747 t=21961
yu qi 	與其	c=2 d=5.67182e-06 t=21961
yu qi 	預期	c=5 d=0.0508789 t=21961
yu xian 	預先	c=1 d=1.53857e-10 t=21961
yu yan 	語言	c=19 d=0.886938 t=21961
yu yan zhong 	語言中	c=1 d=1.44125e-06 t=21961
yu yi 	予以	c=1 d=9.44524e-06 t=21961
yu zhi 	與之	c=1 d=1.78325e-11 t=21961
yuan 	原	c=2 d=5.92773e-12 t=21961
yuan 	員	c=1 d=0.000343955 t=21961
yuan 	源	c=13 d=6.39711e-05 t=21961
yuan 	袁	c=3 d=1.37383e-10 t=21961
yuan cheng 	遠程	c=4 d=0.101266 t=21961
yuan chuan 	遠傳	c=1 d=2.03892e-12 t=21961
yuan chuan shu ju 	遠傳數據	c=1 d=1.97589e-12 t=21961
yuan dai ma 	源代碼	c=1 d=0.00577048 t=21961
yuan gong 	員工	c=2 d=1.96432e-47 t=21961
yuan gu 	緣故	c=1 d=7.04928e-05 t=21961
yuan lai 	原來	c=1 d=0.0439369 t=21961
yuan lai shi 	原來是	c=1 d=5.91757e-05 t=21961
yuan lao shi 	袁老師	c=1 d=8.83248e-11 t=21961
yuan li 	原理	c=2 d=0.0784731 t=21961
yuan ma 	源碼	c=12 d=0.324941 t=21961
yuan quan 	圓圈	c=1 d=0.00323088 t=21961
yuan shi 	原始	c=3 d=0.0165345 t=21961
yuan su 	元素	c=2 d=3.15655e-11 t=21961
yuan wen 	原文	c=2 d=2.39996e-05 t=21961
yuan xian 	原先	c=14 d=0.621137 t=21961
yuan yin 	原因	c=22 d=0.45612 t=21961
yuan you 	原有	c=8 d=0.2334 t=21961
yuan yu 	源於	c=1 d=1.20093e-07 t=21961
yue 	月	c=4 d=0.337278 t=21961
yue 	閱	c=1 d=6.9623e-06 t=21961
yue dong jie 	月凍結	c=3 d=1.27263e-05 t=21961
yue fen 	月份	c=1 d=0.00133343 t=21961
yue shu 	約束	c=1 d=8.1086e-05 t=21961
yun 	贇	c=1 d=2.96196e-10 t=21961
yun 	韻	c=2 d=1.1436e-12 t=21961
yun gang 	雲港	c=1 d=6.54751e-48 t=21961
yun mu 	韻母	c=3 d=1.28941e-08 t=21961
yun suan 	運算	c=0 d=2.39969e-05 t=21961
yun xing 	運行	c=3 d=0.037068 t=21961
yun xing shi 	運行時	c=1 d=1.75216e-10 t=21961
yun xu 	允許	c=13 d=2.07191 t=21961
yun xun 	暈尋	c=1 d=1.6102e-16 t=21961
yun ying 	運營	c=1 d=0.774916 t=21961
za 	咋	c=2 d=4.80043e-05 t=21961
za di 	咋滴	c=1 d=6.73909e-05 t=21961
za xiang 	雜項	c=3 d=8.65599e-05 t=21961
zai 	再	c=26 d=2.52471 t=21961
zai 	在	c=184 d=1.82664 t=21961
zai bo 	載波	c=1 d=2.23282e-09 t=21961
zai ci 	再次	c=8 d=1.69938 t=21961
zai ci 	在此	c=3 d=0.0235274 t=21961
zai ci chu 	在此處	c=1 d=3.37374e-12 t=21961
zai li mian 	在裏面	c=1 d=3.78156e-31 t=21961
zai mei zai 	在沒在	c=1 d=7.87968e-21 t=21961
zai na 	在哪	c=0 d=0.0141564 t=21961
zai na 	在那	c=1 d=8.49338e-21 t=21961
zai na li 	在哪裏	c=1 d=0.142274 t=21961
zai san 	再三	c=1 d=1.70478e-11 t=21961
zai wang 	再往	c=0 d=4.10796e-06 t=21961
zai wang hou 	再往后	c=1 d=4.12855e-05 t=21961
zai xian 	在線	c=6 d=0.000589706 t=21961
zai yong 	再用	c=2 d=0.00690866 t=21961
zai yong 	在用	c=3 d=0.00694315 t=21961
zai yu 	在於	c=3 d=0.0168853 t=21961
zai zhe li 	在這裏	c=1 d=0.000124028 t=21961
zai zuo 	再做	c=1 d=4.63708e-48 t=21961
zan 	暫	c=7 d=0.00729913 t=21961
zan bu 	暫不	c=1 d=0.00904991 t=21961
zan men 	咱們	c=1 d=7.53039e-17 t=21961
zan shi 	暫時	c=9 d=0.386741 t=21961
zan ting 	暫停	c=1 d=2.22168e-09 t=21961
zan wei 	暫未	c=2 d=0.136014 t=21961
zang an 	髒按	c=1 d=2.69307e-08 t=21961
zao 	早	c=3 d=0.00356411 t=21961
zao can 	早餐	c=2 d=2.48596e-47 t=21961
zao cheng 	造成	c=2 d=1.09209e-07 t=21961
zao chu 	鑿出	c=1 d=3.70668e-31 t=21961
zao shang 	早上	c=1 d=1.65125e-18 t=21961
zao yu 	早於	c=3 d=7.42653e-07 t=21961
zao zai 	早在	c=1 d=1.9643e-31 t=21961
ze 	則	c=67 d=2.60912 t=21961
ze me le 	則麼了	c=1 d=2.44226e-05 t=21961
ze shi 	則是	c=1 d=1.81519e-14 t=21961
zen 	怎	c=1 d=2.45451e-05 t=21961
zen me 	怎麼	c=7 d=0.462513 t=21961
zen yang 	怎樣	c=1 d=1.49823e-21 t=21961
zeng 	增	c=3 d=7.37625e-09 t=21961
zeng da 	增大	c=2 d=1.64327e-06 t=21961
zeng jia 	增加	c=14 d=0.318141 t=21961
zeng jia le 	增加了	c=1 d=0.00975476 t=21961
zeng qiang 	增強	c=2 d=3.36156e-17 t=21961
zeng shan 	增刪	c=1 d=1.63371e-10 t=21961
zeng yang 	增樣	c=1 d=0.860708 t=21961
zeng yu 	贈予	c=1 d=2.42546e-12 t=21961
zeng zhang 	增長	c=2 d=1.2595e-30 t=21961
zha 	炸	c=1 d=1.7272e-47 t=21961
zhai zi 	摘自	c=2 d=1.6019e-14 t=21961
zhan 	棧	c=1 d=0.024234 t=21961
zhan 	站	c=2 d=0.97531 t=21961
zhan shi 	展示	c=1 d=2.00576e-12 t=21961
zhan tie 	粘貼	c=2 d=1.89192e-12 t=21961
zhan yong 	佔用	c=5 d=0.000450569 t=21961
zhan zai 	站在	c=1 d=2.19465e-12 t=21961
zhang 	張	c=1 d=9.5039e-20 t=21961
zhang 	章	c=1 d=1.20674e-05 t=21961
